feature,target,score,signed_score
Bit_165,ff,0.017017127323811398,0.017017127323811398
Bit_193,ff,0.01685910515273806,0.01685910515273806
Bit_710,ff,0.01643512773655124,0.01643512773655124
Post-washing_Annealing_Temperature(°C),ff,0.015341832301203845,0.015341832301203845
Bit_932,ff,0.014392154346089472,-0.014392154346089472
Bit_366,ff,0.013708046480788027,0.013708046480788027
Bit_230,ff,0.013268616243531105,-0.013268616243531105
NumHAcceptors,ff,0.012504508890918982,0.012504508890918982
Bit_91,ff,0.012434364711007001,-0.012434364711007001
Spin_Coating_Time(s),ff,0.011976856984280323,-0.011976856984280323
Bit_203,ff,0.011734456755096408,0.011734456755096408
Bit_641,ff,0.011572922360154734,0.011572922360154734
Bit_1018,ff,0.011077232467399794,0.011077232467399794
Bit_94,ff,0.009904008543486071,0.009904008543486071
Bit_140,ff,0.009904008543486071,0.009904008543486071
Bit_221,ff,0.009904008543486071,0.009904008543486071
Bit_249,ff,0.009904008543486071,0.009904008543486071
Bit_845,ff,0.009904008543486071,0.009904008543486071
Bit_946,ff,0.009904008543486071,0.009904008543486071
NumAtomStereoCenters,ff,0.009751217747078142,-0.009751217747078142
NumBridgeheadAtoms,ff,0.009751217747078142,-0.009751217747078142
NumSaturatedCarbocycles,ff,0.009751217747078142,-0.009751217747078142
NumSaturatedRings,ff,0.009751217747078142,-0.009751217747078142
NumUnspecifiedAtomStereoCenters,ff,0.009751217747078142,-0.009751217747078142
fr_allylic_oxid,ff,0.009751217747078142,-0.009751217747078142
Bit_96,ff,0.009751217747078142,-0.009751217747078142
Bit_113,ff,0.009751217747078142,-0.009751217747078142
Bit_407,ff,0.009751217747078142,-0.009751217747078142
Bit_740,ff,0.009751217747078142,-0.009751217747078142
Bit_1000,ff,0.009751217747078142,-0.009751217747078142
Bit_1019,ff,0.009751217747078142,-0.009751217747078142
Bit_442,ff,0.009084924469666017,0.009084924469666017
Bit_836,ff,0.009084924469666017,0.009084924469666017
Bit_281,ff,0.009068632504782672,0.009068632504782672
Bit_362,ff,0.009068632504782672,0.009068632504782672
Bit_461,ff,0.009068632504782672,0.009068632504782672
Bit_24,ff,0.008776095972370328,-0.008776095972370328
Bit_652,ff,0.007898486375133294,0.007898486375133294
Bit_322,ff,0.0077300812525258515,-0.0077300812525258515
Bit_58,ff,0.0075984699279946204,-0.0075984699279946204
Bit_996,ff,0.007570770391388348,0.007570770391388348
Initial_Annealing_Time_for_SAM(min),ff,0.007109230049322609,-0.007109230049322609
