canonical_smiles,name,pce_mean,pce_group,record_count,anchor_rule,backbone_rule,spacer_rule,x_base,y_base,z_base,x_plot,y_plot,z_plot
O=P(O)(O)CCn1c2ccccc2c2ccccc21,2PACz,16.55982142857143,middle,112,P-acid,PACz core,Short C2,0,2,0,0.01628733479482928,1.9232250095081753,-0.014361318220623094
O=P(O)(O)Cc1c(F)c(F)c(F)c(F)c1F,F5BnPA,12.166666666666666,low,3,Aryl P-acid,Other,Long/other,1,3,3,1.001529650186641,3.128583946982492,2.859753439555344
O=P(O)(O)Cc1ccc(C(F)(F)F)cc1,3FMBPA,3.82,low,1,Aryl P-acid,Other,Long/other,1,3,3,1.112124522392464,3.2033547018468287,3.1122978053062
O=P(O)(O)Cc1ccccc1,BnPA,16.15,middle,2,Aryl P-acid,Other,Long/other,1,3,3,0.9832451060768883,2.917990335982226,2.967961039833022
O=P(O)(O)c1ccc(-n2c3cc(-c4ccccc4)ccc3c3ccc(-c4ccccc4)cc32)cc1,JJ37,15.678,middle,5,Aryl P-acid,PACz core,Long/other,1,2,3,0.9283551755164694,1.974222573024838,3.0075516311040125
O=P(O)(O)c1ccc(-n2c3cc4ccccc4cc3c3c4ccccc4ccc32)cc1,pPhPADCB,17.4425,middle,4,Aryl P-acid,PACz core,Long/other,1,2,3,1.012549294446942,2.0239088885658356,3.091668547940237
O=P(O)(O)c1ccc(-n2c3ccccc3c3ccccc32)cc1,p-PhACz,18.3,middle,1,Aryl P-acid,PACz core,Long/other,1,2,3,1.0153997678780236,2.1210088351083916,2.887841832125875
O=P(O)(O)c1ccc(Br)cc1,BPA,2.7,low,1,Aryl P-acid,Other,Long/other,1,3,3,1.0951431302668306,2.9309200045100234,2.91238469501257
O=P(O)(O)c1ccc(Cl)cc1,CPA,2.6,low,1,Aryl P-acid,Other,Long/other,1,3,3,1.0584577872140204,2.9828305507840525,2.8879105444016804
O=P(O)(O)c1ccc(N(c2ccccc2)c2ccccc2)cc1,p-DPAPCz,17.38,middle,1,Aryl P-acid,Other,Long/other,1,3,3,1.0249809741404656,3.054413630324322,2.9444104596982204
O=P(O)(O)c1cccc(-n2c3ccccc3c3ccccc32)c1,m-PhACz,19.44,high,1,Aryl P-acid,PACz core,Long/other,1,2,3,1.1024312023853693,2.0304336252126634,3.0307745624211897
